"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"181",0,0,0,0,0,0,0,0,0,0
"182",0,0,0,0,0,0,0,1,0,0
"183",1,1,0,0,2,1,2,2,1,2
"184",0,1,0,0,1,0,0,1,0,2
"185",4,1,2,2,1,3,3,1,4,1
"186",0,0,0,0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,1,0,1,1,1
"189",0,0,0,0,0,0,0,0,0,2
"190",2,1,2,1,1,2,1,1,3,1
"191",0,0,0,0,0,0,0,0,0,0
"192",1,0,2,0,0,0,0,0,4,0
"193",0,0,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0,0,0
"195",1,2,0,0,0,0,0,3,3,2
"196",0,1,0,1,2,0,1,2,0,2
"197",0,0,0,0,0,0,0,0,0,0
"198",0,0,0,0,0,0,0,0,0,0
"199",0,0,0,0,0,0,0,0,0,0
"200",2,1,1,4,0,3,0,1,5,0
"201",0,1,0,0,1,0,0,1,0,1
"202",1,1,0,0,1,1,2,1,1,1
"203",0,1,0,0,1,1,0,1,1,2
"204",1,1,0,1,1,1,2,1,1,1
"205",1,0,0,1,0,0,0,1,1,1
"206",0,0,0,0,0,0,0,0,0,0
"207",0,1,0,1,0,0,0,0,0,0
"208",1,1,0,0,1,1,1,1,1,1
"209",1,1,0,0,2,1,2,2,1,2
"210",1,1,0,0,2,1,2,3,1,3
"211",0,0,0,0,0,0,0,0,0,0
"212",0,0,0,0,0,0,0,0,0,0
"213",0,0,1,1,0,1,0,2,2,0
"214",2,0,0,1,0,0,0,0,2,0
"215",0,0,0,0,0,0,0,0,0,0
"216",1,1,0,0,1,1,2,1,1,1
"217",0,0,0,0,0,0,0,0,0,0
"218",1,1,0,0,1,1,1,2,1,3
"219",0,1,0,0,1,0,0,1,0,2
"220",0,0,0,0,0,0,0,0,0,1
"221",1,0,0,0,0,0,0,1,1,1
"222",0,0,0,0,0,0,0,0,0,0
"223",2,1,0,2,0,0,0,0,1,0
"224",0,1,0,0,1,0,0,1,0,1
"225",0,1,0,0,0,0,0,0,0,1
"226",2,0,2,1,0,3,0,0,6,0
"227",0,0,0,0,0,0,0,1,0,1
"228",1,2,0,0,1,0,1,2,0,2
"229",1,1,0,0,1,1,1,1,1,1
"230",0,2,0,0,2,0,1,1,0,2
"231",0,1,0,1,1,0,1,2,0,1
"232",0,1,0,0,0,0,0,0,0,1
"233",0,1,0,0,0,0,0,0,0,1
"234",0,1,0,0,0,0,0,0,0,1
"235",0,2,0,0,0,0,0,0,0,1
"236",0,1,1,0,0,0,0,1,1,1
"237",1,1,0,0,1,1,1,2,1,2
"238",0,0,0,0,0,0,0,0,0,0
"239",0,0,0,0,0,0,0,0,0,0
"240",0,1,0,1,1,0,0,1,0,1
"241",0,0,0,1,0,1,1,1,1,1
"242",1,0,0,1,1,0,0,0,2,1
"243",0,1,0,0,1,1,0,1,1,2
"244",0,0,0,0,0,0,0,1,0,1
"245",1,3,0,1,2,1,2,2,1,4
"246",0,1,0,1,0,0,0,1,2,1
"247",0,0,0,0,0,0,1,0,0,0
"248",0,0,0,0,0,0,0,0,0,0
"249",1,0,1,0,0,1,1,0,1,0
"250",0,0,0,0,0,0,0,0,0,0
"251",0,0,0,0,0,0,0,0,0,0
"252",1,1,0,0,1,1,1,1,1,1
"253",0,0,0,0,1,0,0,1,0,1
"254",0,1,0,2,1,1,1,0,2,1
"255",0,0,0,0,0,0,0,0,0,0
"256",0,0,0,1,0,0,0,0,0,0
"257",0,1,0,0,0,0,0,0,0,0
